height,acc_gravity,tau,pi,a,p,rho
0.0,9.8066,288.9,1.0,340.7,1000.0,1.2058
500.0,9.8051,285.7,0.94228,338.8,942.2,1.149
1000.0,9.8036,282.6,0.88732,337.0,887.3,1.0938
1500.0,9.802,279.4,0.83501,335.1,835.0,1.0411
2000.0,9.8005,276.2,0.78524,333.2,785.2,0.9904
2500.0,9.799,273.1,0.73792,331.3,737.9,0.9413
3000.0,9.7974,269.9,0.69296,329.3,693.0,0.8944
3500.0,9.7959,266.1,0.65027,327.5,650.3,0.8513
4000.0,9.7943,263.6,0.60974,325.5,609.7,0.8058
4500.0,9.7928,260.4,0.57131,323.6,571.3,0.7643
5000.0,9.7913,257.3,0.53488,321.6,534.9,0.7242
5500.0,9.7898,254.1,0.50036,319.5,500.4,0.686
6000.0,9.7882,250.9,0.46769,317.6,467.7,0.6494
6500.0,9.7867,247.8,0.43678,315.5,436.8,0.614
7000.0,9.7852,244.6,0.40756,313.5,407.6,0.5805
7500.0,9.7836,241.4,0.37996,311.5,380.0,0.5483
8000.0,9.7821,238.3,0.3539,309.4,353.9,0.5174
8500.0,9.7806,235.1,0.32932,307.3,329.3,0.488
9000.0,9.779,231.9,0.30616,305.0,306.2,0.4599
9300.0,9.7781,230.0,0.2929,304.2,292.9,0.4436
9500.0,9.7775,228.8,0.28434,303.5,284.3,0.433
10000.0,9.776,226.1,0.26385,301.1,263.8,0.4065
10500.0,9.7744,224.1,0.24465,300.1,244.6,0.3803
11000.0,9.7729,222.6,0.22671,299.5,226.7,0.3547
11500.0,9.7714,221.7,0.21,298.4,210.0,0.3299
12000.0,9.7698,221.5,0.19449,298.4,194.5,0.3059
13000.0,9.7668,221.5,0.1668,298.4,166.8,0.2623
14000.0,9.7637,221.5,0.14305,298.4,143.0,0.225
15000.0,9.7606,221.5,0.12269,298.4,122.7,0.193
16000.0,9.7576,221.5,0.10523,298.4,105.2,0.1655
17000.0,9.7545,221.5,0.09026,298.4,90.3,0.142
18000.0,9.7514,221.5,0.07743,298.4,77.4,0.1218
19000.0,9.7484,221.5,0.06642,298.4,66.4,0.1045
20000.0,9.7453,221.5,0.05698,298.4,57.0,0.0896
21000.0,9.7422,221.5,0.04888,298.4,48.9,0.0769
22000.0,9.7392,221.5,0.04194,298.4,41.9,0.066
23000.0,9.7361,221.5,0.03598,298.4,36.0,0.0566
24000.0,9.733,221.5,0.03088,298.4,30.9,0.0486
25000.0,9.73,221.5,0.02649,298.4,26.5,0.0417
26000.0,9.7269,221.5,0.02274,298.4,22.7,0.0357
27000.0,9.7239,221.5,0.01951,298.5,19.5,0.0307
28000.0,9.7208,221.8,0.01675,298.1,16.7,0.0263
29000.0,9.7178,222.6,0.01438,299.0,14.4,0.0225
30000.0,9.7147,224.0,0.01236,300.0,12.4,0.0192
31000.0,9.7116,226.0,0.01063,301.3,10.6,0.0164
32000.0,9.7086,228.5,0.00916,303.0,9.2,0.014
33000.0,9.7055,231.2,0.00791,304.8,7.9,0.0119
34000.0,9.7025,234.0,0.00684,306.7,6.8,0.0102
35000.0,9.6994,236.7,0.00592,308.4,5.9,0.0087
36000.0,9.6965,239.5,0.00514,310.2,5.2,0.0075
37000.0,9.6935,242.2,0.00447,312.0,4.5,0.0064
38000.0,9.6905,245.0,0.00389,313.8,3.9,0.0055
39000.0,9.6874,247.7,0.00339,315.5,3.4,0.0048
40000.0,9.6844,250.5,0.00296,317.3,3.0,0.0041
41000.0,9.6814,253.2,0.00259,319.0,2.6,0.0035
42000.0,9.6783,256.0,0.00227,320.8,2.3,0.0031
43000.0,9.6753,258.7,0.00199,322.4,2.0,0.0027
44000.0,9.6723,261.5,0.00175,324.2,1.7,0.0023
45000.0,9.6693,264.2,0.00154,325.9,1.5,0.002
46000.0,9.6662,267.0,0.00136,327.6,1.3,0.0018
47000.0,9.6632,269.7,0.00119,329.2,1.2,0.0016
47300.0,9.6623,270.6,0.00115,329.8,1.1,0.0015
48000.0,9.6602,270.6,0.00105,329.8,1.0,0.0014
49000.0,9.6572,270.6,0.00093,329.8,0.9,0.0012
50000.0,9.6542,270.6,0.00082,329.8,0.8,0.001
